lr,la,T*,P*,rhol*,rhos*
7.0,6.0,0.819992478,1.05843999,0.9410588789145208,1.0076123089558884
7.0,6.0,0.861033380375,1.7264289575,0.9557663808813248,1.0196871756418062
7.0,6.0,0.89398276325,2.2709742537499995,0.9675758395742876,1.0331503329008889
7.0,6.0,0.930008015125,2.8926755875,0.9779724371460344,1.0454526585476074
7.0,6.0,1.03698029875,4.84824202875,1.0118667018435918,1.0664861797099845
7.0,6.0,1.0999881687500002,6.0797508775,1.030573340920888,1.0802603029473563
7.0,6.0,1.1690401512500002,7.477483868749999,1.050166002265149,1.1008128287871188
7.0,6.0,1.2000733875,8.10095019375,1.0579059316516088,1.1121424232022752
7.0,6.0,1.2489271250000002,9.1691184425,1.0712882223753333,1.1288981305434604
7.0,6.0,1.28206417625,9.897651553750002,1.0803898905445126,1.1330516943373392
7.0,6.0,1.3729606075,11.970031325,1.103333356513729,1.1494469712740534
7.0,6.0,1.439938185,13.592118375,1.1200183523196006,1.1658556384133416
7.0,6.0,1.4519563537499998,13.82074255,1.1221201538901924,1.1779787453687038
7.0,6.0,1.94702983375,27.1123981375,1.2308379576709152,1.2761066588297112
8.0,6.0,0.78600541025,0.9057058095,0.909287203258019,0.977789572012884
8.0,6.0,0.820005002375,1.39898845125,0.9198696968851712,0.985854814368614
8.0,6.0,0.85596962775,1.94894490875,0.9320396847973832,1.0019115426139709
8.0,6.0,0.8880084505,2.45562688625,0.9411980965948232,1.0136721292430668
8.0,6.0,0.8960244640000001,2.5832624887499995,0.944216719796431,1.0014552638047434
8.0,6.0,0.922009394375,2.9909529537500004,0.9514783245460188,1.0222824092060665
8.0,6.0,0.959033130875,3.63256893125,0.9628804501241388,1.0170501338561857
8.0,6.0,1.0279856525,4.781235505000001,0.9802474789724892,1.0404578628427663
8.0,6.0,1.0610082475,5.33566141625,0.9911316167122228,1.0540506894263053
8.0,6.0,1.0889635675,5.8690142125,0.9961113582690858,1.0536412366242591
8.0,6.0,1.1510686312500005,7.018357303749999,1.012564800687515,1.0717949223290062
8.0,6.0,1.2439432150000005,8.82044130375,1.0343556862294974,1.0913385989513795
8.0,6.0,1.3269493325,10.5099803375,1.0538594187181,1.108901037661727
8.0,6.0,1.39106966625,11.8635913,1.0675096982158063,1.1181362310109952
8.0,6.0,1.481052,13.801307825,1.086796447273071,1.1397549204386688
8.0,6.0,1.5989710512500002,16.5021978625,1.1108833478243196,1.1561530080925917
8.0,6.0,1.6620133325,17.964213675,1.1230382712793925,1.1716212328434834
8.0,6.0,1.70610017375,19.024808712499997,1.1320230713312638,1.1866219750247995
8.0,6.0,1.7950611525000002,21.192528025,1.1479707223480056,1.1965022955567957
8.0,6.0,1.96194507125,25.5452718,1.1789354033783075,1.2226619147586502
8.0,6.0,2.3140446375000003,35.090738625,1.2360615532604513,1.281432758763949
9.0,6.0,0.79592929525,1.21788713125,0.8983174598718936,0.9719748183844782
9.0,6.0,0.8239788425,1.612027555,0.9070859831229684,0.9836017287059182
9.0,6.0,0.8619911771250001,2.15057835125,0.917856087275414,0.9906596158275428
9.0,6.0,0.90990754275,2.8737353075,0.931169642080262,1.0033939576619326
9.0,6.0,0.911988894125,2.90400914625,0.9310238563066175,0.9994716794495236
9.0,6.0,0.959034537875,3.65459076625,0.9452078651844216,1.0173545087682752
9.0,6.0,0.9669368005,3.737692428749999,0.9449312839268048,1.0121786083301836
9.0,6.0,1.038974875,4.9165094925,0.9631851356450368,1.028951790729701
9.0,6.0,1.12901549625,6.425569488750001,0.9831143108567858,1.0479010210783382
